Gene,log2FC,p-value
FFAR4,1.37059884,0.08081176
TMEM187,0.609155526,0.080859713
LOC105376425,-2.553815357,0.080899789
LOC107984737,-1.487335336,0.081045663
LINC01301,1.007996382,0.081151921
SMG8,0.181057037,0.081182229
BRF2,0.437779908,0.081182229
CD1E,2.223464579,0.081211917
MKRN3_1,2.436647005,0.081211917
SNX3,-0.293567602,0.081220239
HPCAL4,-0.979246304,0.081221966
STK10,-0.507598918,0.081233846
LOC107984328,-0.989663719,0.081237654
CFAP97,-0.384618072,0.081266526
NAPSB,-1.135456066,0.081480966
LOC100130673,-1.075587196,0.08150441
ZNF182,0.390560386,0.081518555
CLEC4GP1,-2.826883549,0.08155884
LOC105373957,-2.820983457,0.08155884
RHBG,-2.213881932,0.08155884
LINC01250,2.268421421,0.08155884
SLC35G5_1,2.429020211,0.08155884
ADCYAP1,-0.759912682,0.081623367
NPIPB12,-0.784901098,0.081760669
METRNL_1,-0.849431562,0.081820409
PREB,0.290217651,0.081850518
TLR1,-2.589235001,0.081894886
LOC101927437,-2.593612579,0.081932488
LOC105372130,-0.952373093,0.082015852
RPS21,-0.579484991,0.082015852
LOC112268313,-2.765174188,0.082019842
TMEM44-AS1,0.733002207,0.082039414
LOC105376980,2.258361065,0.082062655
TPD52L2,-0.305132199,0.082063147
CGGBP1,0.258847871,0.082063147
GABBR1,1.527360034,0.08206847
LOC105370532,-1.229496361,0.082137594
PTPN23,-0.261172787,0.082137594
LINC02762,0.981841789,0.082157542
BEST1,0.907214989,0.082249877
GHRLOS,-1.151751861,0.082324138
B3GALT1-AS1,-2.567645857,0.082360036
GABRA1,-2.063476114,0.082360036
AKTIP,-0.207508512,0.082360036
SLC6A12,-1.135415563,0.082381083
CTB-1I21.1,2.49081347,0.082385696
BCL9L,-0.572001742,0.082461402
CALCRL,-0.921393051,0.082501598
JRKL,0.347359587,0.082561182
LOC102724562,-1.970955033,0.082579041
LOC105377971,-1.649686959,0.082579041
SP3,-0.231583452,0.082579041
STAT3,-0.271438963,0.082609219
LOC107984689,-2.318151931,0.082708635
TALDO1,-0.327972211,0.082725218
LOC339862,-1.267425538,0.082793614
ZNF383,-0.318961378,0.082835357
LOC102724530,1.202269051,0.082887022
TMEM150B,-1.054349519,0.082890087
SCAMP1,0.332641993,0.082890087
ODF3L1,-2.638077682,0.082943609
NEK11,0.4769538,0.082977829
KITLG,0.635984701,0.083132661
LOC107985023,-1.029783954,0.083204686
ROMO1,-0.519512823,0.08335445
LOC107985966,2.707839401,0.083392287
LOC112268256,-0.77889224,0.083453511
LOC441242,0.395958138,0.083461991
LINC01864,2.564079658,0.083486358
NDUFAF1,0.246598942,0.083510107
PPA2,-0.49319706,0.083697521
GTPBP2,-0.392879034,0.083707806
LOC107986075,1.641723284,0.083747184
ZBTB39,-0.270970166,0.083994978
COPS6,-0.19875754,0.084068653
METTL9_1,1.036690933,0.084068653
TIPARP-AS1,-0.943338299,0.084073071
POU3F3,-1.218144981,0.084115701
RASA3_1,-0.900491023,0.084266064
METTL25B,-0.394629257,0.08432267
ECHS1,0.175924845,0.08433049
LINC01805,-2.23638453,0.08436499
BBIP1,-0.33945097,0.084413768
FAAH,-0.666881517,0.08448986
BRD2_5,-1.457543368,0.084504448
SENP5,0.290659449,0.084518883
NAIP_1,1.145711048,0.084518883
PROSER2-AS1,-2.666526892,0.084535427
PMPCB,0.165035114,0.084609139
SILC1,-2.354774105,0.084747531
DBH-AS1,-0.52114256,0.084825671
THEM5,-1.064213608,0.084878668
USF3,0.320192889,0.084878668
KCNAB3,-1.089877193,0.08494923
SNORD54,-1.053642837,0.084949856
DERL2,0.221310779,0.084955049
MYB,0.814351487,0.084979146
DNAI7,0.979413061,0.084987022
NPIPA3_1,-1.534119607,0.085104419
LOC100132813,2.577239198,0.085197808
LINC02048,-2.795224975,0.085199629
MIR4728,-2.41865012,0.085213754
PLAA,-0.188766548,0.085213754
TASOR2,-0.322720229,0.085270633
SORBS1,0.546583603,0.085281295
RPS6KA5,0.453957806,0.085301534
LOC105378240,1.901139981,0.085381282
PEX7,0.438663396,0.08540748
PAFAH2,-0.262928716,0.085408538
LOC107987180,2.081263334,0.085443269
ZNF284,0.411295411,0.085445105
DRD4_1,-1.026124963,0.08548185
RNF19A,0.371210699,0.08548185
TLR7,-2.519534606,0.085537132
LOC101928525,-1.036504817,0.085748099
PLGLB2,1.667367176,0.085748099
GPR183,-2.56170806,0.085773217
ARHGAP11A_1,-2.277983878,0.085773217
ASPSCR1,-0.365476367,0.085773217
NUP88,-0.243731121,0.085773217
PPP1R9A-AS1,-2.700383267,0.085811339
ALDH7A1,0.232606261,0.085811339
LOC105377576,-0.487166335,0.086000573
GLE1,0.180518989,0.086052176
LOC105370259,2.349865664,0.086081838
RBM24,-0.732210252,0.086093965
OPN4,2.54710474,0.086093965
LINC01637,-2.061507028,0.086100644
PMCH,-1.079728406,0.086158334
CIRBP-AS1,-0.909224044,0.08617034
HAUS7,-0.393757391,0.086195068
RXFP2,2.770208348,0.086195068
PPM1N,-0.967249263,0.086234892
IP6K1,0.437613062,0.086236899
ZNF404,-2.275444763,0.086275021
LOC105375492,1.688109742,0.086329844
PHF2,0.299137218,0.086330426
DCLRE1A,-0.356901317,0.086358028
LOC105371318,-2.572868595,0.086360227
WDCP,-0.237504023,0.086389172
CCNYL4,-2.30859043,0.086409251
CAMKMT,-0.312470596,0.086414947
LOC107985736,1.07875836,0.086438531
RAD17_1,0.67370567,0.086439273
PMAIP1,-0.867708837,0.086613327
CHCHD2,0.404644727,0.086613327
PRF1,-2.017411613,0.08661421
ATP10A,-1.128324407,0.086622511
LOC102723933,1.868343011,0.086733183
NCEH1,-0.438774331,0.086744978
LOC105374056,2.600414102,0.086801681
ISY1,-0.295005551,0.086813374
TIGD5,1.232186763,0.086813374
SLC46A2,1.608469113,0.086815961
AQP8,2.305746833,0.086840521
LOC105378030,-1.685518714,0.086882854
MDK,-0.553369685,0.0869025
SLC6A1,0.737231286,0.086972408
MIR637,-0.795636235,0.087002141
LOC101928906,-1.546471474,0.087008108
PIGL,0.314700627,0.087052237
RPLP0P2,-1.676766814,0.087097101
PCDHGA4,0.7693295,0.087097101
DGUOK-AS1,-1.751252736,0.087130838
LOC105372797,-1.741550351,0.087179498
LINC02598,-2.70469913,0.087310839
ZNF528-AS1,1.680057355,0.087376987
ZNF513,-0.292662158,0.08739033
CDH10,-0.543053662,0.087397204
CSNK1G1,0.377769362,0.087450511
PRRC2B,0.388137881,0.087474013
ACTB,-0.320915292,0.087509002
GUSBP15_1,1.424348249,0.087509002
LOC107984313,-2.425175126,0.087515188
XCL1,-0.988908284,0.08774091
LOC100506990_1,0.67746143,0.087820356
LINC01650,2.669471666,0.08784232
RBM42,-0.404559728,0.087852106
CEBPB,-0.753744417,0.087913842
MGC2889,0.932032863,0.087913842
FAM133DP,-0.67551602,0.087955205
GSTM3,0.42242178,0.087967524
LOC105376289,-1.134949541,0.087992364
LOC101928336,1.503651583,0.088016244
KDM3A,0.418039084,0.088085067
ZNF142,0.424062133,0.088085067
UHRF2,-0.329312183,0.088124136
SSPOP,0.893065801,0.08812966
NAALAD2_1,2.686979381,0.08812966
MACROH2A1,0.283638949,0.088146324
LINC02200,2.763649165,0.088319607
RBIS,-0.485958993,0.088324235
PDCD10,-0.38924202,0.088383771
LOC101929560,-0.865738559,0.088406854
PHB2,-0.323464813,0.088475356
CDH20,0.761758169,0.088475356
GAS6-AS1,-1.970517842,0.088518819
POU2AF1,-2.551336637,0.088528521
KANSL1L,0.408010637,0.088751064
LINC01275,1.393541721,0.088829215
LOC102724632,2.360344467,0.088829215
ITGB3,-1.186232881,0.088903024
HMGN3-AS1,0.40173836,0.08894887
CA5A,2.638762255,0.088958793
LOC105377763_1,2.321110366,0.089067792
SNORA46,-2.222456026,0.089082989
ESPNP,0.91458403,0.089146727
LOC105371493,-1.292242632,0.089190492
TXK,-1.753557992,0.089279403
SPATA3-AS1,-2.412965968,0.089333597
GFI1B,-1.434508444,0.089370166
TARBP2,-0.378017954,0.089390016
LOC105375782,1.534124649,0.089471064
MAFA,-1.062306338,0.089479285
CCDC178,-1.514319296,0.089509749
TPPP2,2.535229551,0.089704137
MIR6865,2.239648843,0.089771284
MAMDC4,-0.955180853,0.089883688
LOC105376174,2.43711708,0.089994204
PLEKHJ1,0.286902631,0.090000891
NCKAP1,0.159562779,0.090029307
PTPMT1,-0.574322349,0.090043904
LOC105370286,2.533501777,0.090109778
CIBAR1-DT,0.622314133,0.09011142
NCOA5,0.614146394,0.090115308
TATDN2,0.427251211,0.090177611
SAPCD2,-0.776813137,0.090286942
LINC01876,-0.731998308,0.090345182
LOC105369501,1.867067764,0.090358905
EYS,0.997826829,0.09052185
LOC101927410,2.759968077,0.090572679
LRIT3,1.525070201,0.090585461
IL18,-2.158326481,0.09060921
INTS7,0.275235885,0.090776826
LINC01398,2.662956094,0.090776826
SETD3,-0.286030453,0.09085883
FOXB2,2.550965407,0.090881507
AGAP1-IT1,-1.310042659,0.09089822
LOC107985168,2.046403316,0.09090793
SPINDOC,-0.834479978,0.090963386
CHMP4A,1.764689504,0.091012107
CEBPA,-0.788805578,0.091024718
ESYT2,-0.153295888,0.09104428
GABARAPL1-AS1,0.69932981,0.091181156
GTF2H2_1,-1.942059553,0.091294916
LOC107984693,-2.735445623,0.091320546
FGF4,-2.734332636,0.091339525
LOC107984224,1.471055825,0.09135105
PPP6R3,-0.220362716,0.091386883
KDM5B,0.349159207,0.091502707
LOC107986984,-1.278373046,0.091515084
TMEM191C,0.996097301,0.091534975
RNF32,0.424698543,0.091571033
LOC107987053,2.094759742,0.091619331
ZBTB22_4,1.260383086,0.091699169
LOC105372087,-2.438877827,0.091753989
LINC02360,2.69999121,0.091753989
CWF19L2,-0.359091566,0.091819704
SNORA5B,-1.683847434,0.091825639
ZBTB38,-0.375445394,0.091898456
VAMP7,-1.779081352,0.091910063
LOC101929643,-1.471503912,0.091924283
C10orf95-AS1,0.800238636,0.091996126
LOC105376239,-1.871394278,0.092176236
PSMG3,-0.325731244,0.092176236
ALG2,-0.223034523,0.092247477
NDUFB2,0.426814558,0.092248707
OVOL3,1.637945096,0.092300412
LOC107985258,-1.371840676,0.092393953
TRIM16L,-0.482730065,0.092408417
REPS1,-0.238305368,0.092423044
MARS1,0.257225737,0.092494857
LOC107984568,2.219111048,0.092494857
ADGRF1,-2.643447401,0.0925139
FAM3C,-0.306728361,0.092529323
LOC107985468,2.190899598,0.092586707
COQ3,-0.426729887,0.092765307
CNTFR-AS1,1.727714886,0.092787695
POLR2I,0.413405001,0.092823308
PSMC4,1.849001339,0.092886106
U2SURP,-0.31707869,0.093008873
ATAD3C,-1.122062663,0.093028879
KLF13_2,1.519160797,0.093029561
EIF4EBP1,-0.534388626,0.09315097
MIR3186,2.114066074,0.093177434
LINC02447,2.600693533,0.093221479
SNORA31,-2.136630361,0.093252622
RPH3AL_1,0.876018716,0.093291665
TOP1P1,-2.182634688,0.093313355
ANKRD27,-0.27505874,0.093418275
LRP8,0.271231263,0.093643688
RAD51-AS1,0.635818239,0.093673247
LINC00486,1.732200319,0.093682695
IL21R,-1.111048284,0.093787008
LOC105379444,1.818711665,0.093790198
ANGPTL6,-1.510220942,0.093825611
TEX14,0.838956119,0.093828072
ATAT1_6,2.616694337,0.093828072
HHEX,-2.462309014,0.093870737
TRAF1,-0.639048499,0.093886179
XRCC4,-0.519900279,0.0939436
CCDC88C-DT,-2.598549742,0.09399577
LOC105370464,2.250151588,0.09399577
BCL3,-0.849140232,0.094069017
LOC101928512,-2.180256233,0.094111412
GMDS,-0.45746012,0.094195754
ABHD14B,0.498224391,0.094248072
SNORA50A,-1.985450242,0.094353587
FOXD4L3,1.579482141,0.094356716
TANGO6,0.340217873,0.094357996
TOMM20L,1.022330608,0.094357996
NOTUM,0.841312329,0.094397029
LOC105376070,2.352390332,0.094406825
CPA5,-2.205500235,0.094407527
LOC285626,-2.4574618,0.094571891
TFAP2A,-1.883631,0.09471036
MAG,-2.324978956,0.094777912
CTDP1,-0.304156273,0.094777912
MARCO,-2.690328721,0.094800358
IQCF6,2.702604383,0.094830274
ANXA4,-0.405165586,0.094879957
HNF4G,0.855655887,0.094887151
MAP2K2,-0.322327703,0.094945892
LOC105370998,-2.652711448,0.095053459
LOC100288728,-2.192954065,0.095072771
PSMD7,-0.214405793,0.095072771
VTI1B,0.206111846,0.095072771
EFS,-0.339578826,0.095073481
LOC101928786,2.051029615,0.095073481
LOC112268225,1.085287566,0.095173066
LACTB2-AS1,-2.520451127,0.095299353
TOB2,-0.294205449,0.095437106
LOC100996709,1.824136796,0.095487865
TSSK3,0.664934022,0.09551734
PLG,1.925933398,0.09555963
MIB2,0.303039642,0.09562905
SULT6B2P,1.247958877,0.095721561
TMEM168,-0.389460265,0.095776947
BCL2L1-AS1,-2.441341593,0.095805598
MAK,-0.866114412,0.095805598
LOC102724748,-0.884687028,0.095984772
TCEAL2,-0.47472281,0.096010759
YIPF2,-0.681312484,0.096058428
NDUFS1_1,0.853257126,0.096075653
LOC105375024,-1.495309856,0.096235991
PPP1R10_2,-1.906997753,0.096264196
LY6E,-1.878657961,0.096380464
LOC105378031,-0.823060421,0.096393291
ANAPC1P4,-0.794391813,0.096445951
LOC105378926,2.704098417,0.096465531
BPTF,0.379990574,0.096532192
RNF214,0.227143817,0.096566276
LOC101241902,1.07438833,0.096581042
FAAP100,0.301669497,0.096581736
NIFK-AS1,-0.303868325,0.096581752
LINC01363,-2.494470089,0.096586483
LOC105372664,1.463247216,0.096635856
ZDHHC4,-0.197905746,0.096711221
LOC105372663,1.238937549,0.096728883
AADACL3,-2.51100619,0.096774245
LOC101928409,-1.306507122,0.096805387
GPRIN2_1,0.809717682,0.096822023
C15orf32,2.446056855,0.096823143
LOC101927252,1.277133267,0.096824423
CAPN13,-1.908495528,0.096872554
TCEAL8,-0.310741492,0.096889884
DMAC1,0.49908812,0.096904781
SDF2,0.277392156,0.096914034
BACH2_1,1.215769958,0.096914034
LOC101927045,-0.523755653,0.096918063
GLIS1,-1.52248511,0.09694578
POLR1A,-0.427474261,0.096982454
POLR3F,-0.227797477,0.096982454
LINC00551,-2.035246116,0.096984471
HNRNPL,-0.994453074,0.096986314
ZNF263,-0.248651953,0.097025907
TSKU-AS1,-1.17052957,0.09703994
CCDC200,-1.697741344,0.097090127
TDG,-0.360163864,0.097090127
OR2C1,1.890626809,0.097091179
CIDEC,1.630310523,0.09712857
LOC646652,-1.652036364,0.09713387
ZAN,-2.529848443,0.097194394
RGPD8,0.56416861,0.097351907
ZNF100_1,1.812495748,0.097359824
BAIAP2-DT,0.263405632,0.097383962
LOC105370295,-1.991571996,0.097393764
DEGS1,-0.215098372,0.097393764
FKBP9,0.242684497,0.097409651
GALK2,0.30549279,0.097557929
DNAJC18,2.077168255,0.097650189
SNORD116-3,-2.311976038,0.097777108
ARID4B,0.404907719,0.097777108
USP6,-0.92482961,0.097810951
RHOXF1,0.971887223,0.097835811
SUOX,0.352734039,0.097844658
LOC105371472,0.932711639,0.09786798
BMP1,0.511364213,0.097903221
HERC2P2_2,1.587319345,0.097903221
CLEC14A,1.01374474,0.09794131
CD40LG,-2.645677325,0.098041031
TAS2R5,-1.023911812,0.098041031
TNRC18,0.258674811,0.098107508
PTEN,0.617445424,0.098229541
GTF2A2,-0.350502764,0.098239534
TRMT13,-0.438994427,0.098264859
PLCD4,1.288598184,0.098264859
KCNJ6,-0.91635373,0.098291661
CEP135,-0.531575798,0.098298259
DBN1,0.509943716,0.098313493
HYKK,-0.826957694,0.09833891
HLA-A_6,-1.775086665,0.098418475
LOC339539,1.442136889,0.098561408
CAPN12,-2.666093526,0.098647007
KIRREL1-IT1,-2.303748602,0.098647007
LOC107987419,-1.652732307,0.098650879
LINC01000,0.444288913,0.098671925
HSD11B2,0.638233896,0.098683214
ACER1,2.580023678,0.09888914
DHCR24,0.406773169,0.098934497
SHLD1,0.319074651,0.098936672
ALG3,-0.151506102,0.098986665
CEP20_1,-0.489522419,0.098990358
LINC02195,-2.239322166,0.099130731
LOC105375258,1.640364277,0.099168632
LOC105371044,1.42405391,0.099173561
LOC105369422,2.464490651,0.099217669
MTMR10,-0.518507045,0.099391085
DPY19L2P1,1.079468684,0.099470439
LOC107986785,-1.166652986,0.099497703
PNPLA4,0.272856787,0.099497703
STAU1,-0.158372742,0.099514198
COLCA1,-1.318822922,0.099521699
PTPN21,-0.363309879,0.099554915
LOC107985787,-2.256326811,0.099611567
LINC02351,-2.649544451,0.099618412
TP63,-2.56617511,0.099664781
BAG6_4,1.184499407,0.099751692
BZW2,0.25405297,0.099819275
LINC02111,2.567535799,0.099819275
DENND3-AS1,-0.798830256,0.099873173
LINC01258,-2.453221715,0.099902132
CCNO,-0.851509383,0.0999183
IL1R2,2.503335471,0.0999183
LOC107985174,2.679793607,0.099963088
SNRNP35,0.234726401,0.09997175
LINC02043,1.307158582,0.10001802
LOC102724591,1.016178099,0.100066114
NSUN5,-0.238942869,0.100097814
LOC107986403,-2.105978299,0.100240981
LOC105378698,-1.589273928,0.100310206
LOC107986876,-0.988027425,0.100310206
CAV2,0.989125632,0.100310206
XYLT1,-1.181393553,0.100450783
HEPACAM2,2.428862312,0.100463463
GPR22,2.236667136,0.1004796
LOC105378805,2.090340893,0.100668936
BBS12,0.300589593,0.100896412
KLRK1-AS1,-2.469492516,0.100916909
COTL1,-0.455994966,0.10093848
CASP16P,2.273981352,0.10093848
CNTN6,-1.204604757,0.101098073
METTL15,-0.21445427,0.101098073
MRPL1,0.426727989,0.101114718
LINC02078,-1.032138295,0.101153813
SRPK3,1.186655951,0.101203121
LINC02813,2.533654229,0.101317728
MIR1244-3,-1.043257492,0.101412175
LOC105370972,2.445822777,0.101412175
PCDHB8,1.428362079,0.101437572
PPP3CB-AS1,-0.642240829,0.101460665
FAM156A,-0.962328874,0.101470751
CTSB,-0.508587018,0.101547611
MPL,-0.9726625,0.101549652
ABCD1,0.341473801,0.101640443
LOC112268199,-2.230123318,0.101782017
RFESD,-0.587002154,0.101782017
LOC105378626,-1.822287699,0.101941354
RPL13AP6,-1.394220208,0.102053101
PPP1R26,-0.22902774,0.102066265
UBE2D3-AS1,0.669547996,0.102090842
ZNF236,0.326107787,0.102106498
LOC107987285,2.280563122,0.102160696
GTF2H5,0.363432457,0.102170475
PPARG,0.953409614,0.102246267
RNF125,-0.458947744,0.102392509
CCDC43,-0.187382233,0.102422578
LOC105370327,-1.942573145,0.10244233
DIP2B,0.318209604,0.102451697
INHBC,1.545987959,0.102463786
LOC105375833,2.367679191,0.102542234
CIDEA,-2.587120375,0.102569949
LOC105374912,-2.478114464,0.102569949
RPS17_1,-1.101990805,0.102639036
LOC105379138,2.075247466,0.102639036
LOC105371777,1.056640041,0.102837881
CDR2_1,-0.507653486,0.102893471
FIZ1,0.316559534,0.102953581
TMCO1,0.269613314,0.103029403
AGPAT1_5,2.35549001,0.103126696
LOC105373583,-2.57292579,0.103311065
LOC107984035,-0.629794748,0.103400872
BOLA1,-0.537887717,0.103488307
PPIL4,-0.213674434,0.103488307
SNORD42B,-1.357951149,0.103504956
CRYGS,0.850202193,0.103550432
LOC107984966,1.524044191,0.103620661
ZNF865,-0.652651308,0.103664955
MRTFB,-0.351379331,0.103696371
TRBC2_1,-1.841346718,0.103731984
LOC105370947,1.655107975,0.103741058
SLITRK3,-0.668448398,0.103763589
SCP2,0.271012434,0.103763589
MSANTD5,1.286860019,0.103807937
TPRG1,-1.345232376,0.103843943
SNRPN,0.375892404,0.103843943
LOC105377989,-2.24037484,0.103945421
ZBTB18,-0.291251428,0.103949444
GCNT2,2.433600693,0.103960931
CMC4,-0.456932149,0.10396649
HCG18_6,1.084947174,0.104019528
LINC00607,2.115158933,0.104104139
DLGAP4-AS1,-1.471414123,0.104212079
SLC11A2,0.2343583,0.104212079
PPM1J,0.595577489,0.104212079
ARSA,0.39007261,0.104235605
ARHGEF17-AS1,-1.331590822,0.104322542
RXYLT1,0.291449375,0.104384692
CDKN2AIPNL,0.269007541,0.104489393
CPB2,1.798783636,0.104489393
EBP,-0.273936993,0.104726172
HHIPL2,1.048381102,0.104916173
H4C14,2.488827883,0.104916173
LINC00470,2.545320669,0.104935192
LOC105377286,1.413861066,0.104960185
CHODL,0.449376647,0.104960343
EPHA6,0.952966617,0.104994493
MIR3936,1.570862496,0.105045002
MIR3960,1.997105502,0.105162365
C5orf22,-0.182205306,0.105213571
LOC105370834,2.113430489,0.105337041
DCAF4,0.312505757,0.105450852
RBM12B-AS1,-0.663994175,0.105461913
TMX3,-0.304056578,0.10556501
SNHG21,-0.546669273,0.105569101
F11,-2.288162561,0.105589939
ST8SIA5-DT,1.412572925,0.105605066
TRA2A,-0.203950185,0.105693356
SNORD1A,-1.918633632,0.105706048
ORM2,1.527412607,0.105745814
SMG1P3_1,1.041382265,0.105834348
MCTP1,0.729154984,0.105870753
LINC00488,2.171988338,0.105876581
LOC105375330,-1.938037852,0.106087227
MRPL39,-0.246797928,0.106132476
TYW5,0.181712215,0.106212698
LRIT1,2.439136945,0.106242159
LOC107985179,2.076004271,0.106260267
LOC105374811,-0.921473554,0.106331112
LOC101929201,-0.951921918,0.106351835
LINC00461,2.289813652,0.106416429
C9orf50,1.770849543,0.106502234
GYS2,-1.633176418,0.106531749
USP12-AS2,1.309115654,0.106547575
ZNF571-AS1,0.747365989,0.10656257
ZNF521,0.302819369,0.106673854
ZNF354A,-0.37793743,0.106848877
LOC100505549,-0.363277597,0.106848877
BMS1P21,1.297328371,0.106863432
LOC107986949,-1.4088798,0.106903286
TAS1R1,-1.973803845,0.106963152
TRIB3,0.56835891,0.107036792
C5orf58,1.104997691,0.107120989
GDPD3,-0.706608942,0.107174932
LOC105369349,1.99280171,0.107273758
LOC105369513,2.476001305,0.107290511
SMIM10L1_2,0.403164568,0.107356532
LOC105371648,0.851024045,0.10746092
LINC02846,-1.12857711,0.107515846
LOC105375216,1.87498875,0.107515846
GTF2E1,-0.153023979,0.107588868
WWP1-AS1,1.171883228,0.107609703
SPRY3,1.306290201,0.107642341
RPRD1A,-0.230833608,0.107806014
LOC102467080,-1.930134277,0.107817753
ASB2,-2.171453799,0.107844116
ADI1_1,-1.763234885,0.107852203
SMC1A,0.309337349,0.107996162
RAG2,2.379147224,0.108059285
EPOP,-2.577896615,0.108064057
APOB,1.034170247,0.108087646
LOC101927511,-1.739346916,0.108132792
NPPC,-1.404097678,0.108314801
LOC105374501,1.705791644,0.108348609
IRF8,-1.46339225,0.108373082
SRRM5,-0.895129452,0.10841117
GRID2IP,-1.007009102,0.108452444
FCMR,-2.444242714,0.108611196
SLC39A9,0.182201027,0.108611196
LOC107985861,2.586082034,0.108611657
USP24,0.280852537,0.108645108
TRAV19,-2.432527104,0.108651676
CAV1,1.058568716,0.108651676
LOC107986596,0.987178853,0.108677819
